cha taehyun	song hyegyo
wow , ini cuaca pembunuh .	di bawah naungan pohon magnolia ,
di bawah naungan pohon magnolia ,	aku baca surat werther .
aku baca surat werther .	bermain seruling di atas bukit diselimuti kawanan bungabunga .
bermain seruling di atas bukit diselimuti kawanan bungabunga .	aku datang dari tempat jauh , membawa perahu dari dermaga tidak bernama .
aku datang dari tempat jauh , membawa perahu dari dermaga tidak bernama .	bulan april menyalakan kembali obor kehidupan .
bulan april menyalakan kembali obor kehidupan .	impian akan musim yang bersinar ,
impian akan musim yang bersinar ,	musim yang diisi air mata pelangi .
musim yang diisi air mata pelangi .	di bawah naungan pohon magnolia ,
di bawah naungan pohon magnolia ,	aku baca surat werther .
aku baca surat werther .	apa yang harus kulakukan ?
apa yang harus kulakukan ?	aku harus konsentrasi belajar .
aku harus konsentrasi belajar .	apa ?
apa ?	sueun yang disana itu , dia terus memandangiku .
sueun yang disana itu , dia terus memandangiku .	aku perkirakan , dia akan mengajakku kencan minggu ini .
aku perkirakan , dia akan mengajakku kencan minggu ini .	aku harus belajar .
aku harus belajar .	ada apa dengan gadis zaman sekarang ?
ada apa dengan gadis zaman sekarang ?	mereka punya standar yang tinggi .
mereka punya standar yang tinggi .	kamu pergi duluan .
kamu pergi duluan .	tidak , kamu yang duluan .
tidak , kamu yang duluan .	aku ke kanan , dan kamu ke kiri .
aku ke kanan , dan kamu ke kiri .	maksudmu , kananmu ?
maksudmu , kananmu ?	hai !
hai !	belikan aku kroket .
belikan aku kroket .	kenapa ?
kenapa ?	ingin saja .
ingin saja .	tapi , jika aku membelikanmu kroket , akan sulit bagi kami berdua ada di sekolah
tapi , jika aku membelikanmu kroket , akan sulit bagi kami berdua ada di sekolah	kenapa ?
kenapa ?	karena .
karena .	permisi ...
permisi ...	suho !
suho !	bodoh kamu !
bodoh kamu !	kamu hanya dijadikannya mainan .
kamu hanya dijadikannya mainan .	apa yang kamu bicarakan ?
apa yang kamu bicarakan ?	kamu pikir masuk akal ?
kamu pikir masuk akal ?	kenapa sueun , gadis tercantik di sekolah , bisa menyukaimu ?
kenapa sueun , gadis tercantik di sekolah , bisa menyukaimu ?	dia sudah bosan dengan priapria tampan , jadi dia merasa harus merubah langkah .
dia sudah bosan dengan priapria tampan , jadi dia merasa harus merubah langkah .	kamu tahu younggu dari ekskul judo ?
kamu tahu younggu dari ekskul judo ?	dia sudah menandai sueun .
dia sudah menandai sueun .	kamu sedang dicari !
kamu sedang dicari !	aku hanya membelikannya kroket !
aku hanya membelikannya kroket !	tunggu saja .
tunggu saja .	kroket hanya sebagai awal saja ...
kroket hanya sebagai awal saja ...	suho !
suho !	suho !
suho !	kamu hanya dijadikan mainan .
kamu hanya dijadikan mainan .	saat dia puas , dia akan membuangmu !
saat dia puas , dia akan membuangmu !	apa kamu cemas pada temanmu , atau kamu cemburu ?
apa kamu cemas pada temanmu , atau kamu cemburu ?	siapa yang cemburu ?
siapa yang cemburu ?	aku tidak mengerti .
aku tidak mengerti .	kenapa suho bukannya aku ?
kenapa suho bukannya aku ?	kamu juga bukan !
kamu juga bukan !	apa kamu berandalan yang berkencan dengan sueun ?
apa kamu berandalan yang berkencan dengan sueun ?	aku ?
aku ?	apa ada orang lain disini ?
apa ada orang lain disini ?	kamu atau bukan ?
kamu atau bukan ?	aku tidak berkencan dengannya .
aku tidak berkencan dengannya .	aku benci pengecut sepertimu melebihi apapun .
aku benci pengecut sepertimu melebihi apapun .	akan kuberi kamu pelajaran .
akan kuberi kamu pelajaran .	tunggu , tunggu ...
tunggu , tunggu ...	sueun , sueun !
sueun , sueun !	apa kami berkencan atau tidak ?
apa kami berkencan atau tidak ?	tolonglah , aku sedang ...
tolonglah , aku sedang ...	nona bae ?
nona bae ?	apa kamu sedang berkencan dengan tikus ini , atau tidak ?
apa kamu sedang berkencan dengan tikus ini , atau tidak ?	kami sedang berkencan .
kami sedang berkencan .	suho !
suho !	naik , cepat !
naik , cepat !	maju kecepatan penuh !
maju kecepatan penuh !	hai , tangkap dia , cepat !
hai , tangkap dia , cepat !	susul sepeda itu !
susul sepeda itu !	hai , aku seorang guru !
hai , aku seorang guru !	kalian tidak bisa lakukan itu !
kalian tidak bisa lakukan itu !	berhenti , berhenti !
berhenti , berhenti !	aku lebih berat dari perkiraanmu ?
aku lebih berat dari perkiraanmu ?	tidak , beratmu seperti yang aku kira .
tidak , beratmu seperti yang aku kira .	laut sangat biru .
laut sangat biru .	selalu seperti itu .
selalu seperti itu .	sepertinya bisa membuat tanganku jadi biru .
sepertinya bisa membuat tanganku jadi biru .	oh , kamu bisa renang ?
oh , kamu bisa renang ?	tentu aku bisa !
tentu aku bisa !	kenapa kamu tertawa ?
kenapa kamu tertawa ?	kamu tidak terluka ?
kamu tidak terluka ?	oh , si bodoh itu , younggu ...
oh , si bodoh itu , younggu ...	mereka menyelamatkanku .
mereka menyelamatkanku .	apa kamu suka bermain sepak bola ?
apa kamu suka bermain sepak bola ?	aku sering memainkannya saat smp , tapi sekarang tidak .
aku sering memainkannya saat smp , tapi sekarang tidak .	kamu jadi kiper ?
kamu jadi kiper ?	iya , supaya aku tidak perlu lari .
iya , supaya aku tidak perlu lari .	tapi kenapa kamu tahu itu ?
tapi kenapa kamu tahu itu ?	waktu itu kami satu kelas .
waktu itu kami satu kelas .	oh , kamu benar .
oh , kamu benar .	rumah kakekmu ada di lingkunganku kan ?
rumah kakekmu ada di lingkunganku kan ?	kamu juga tahu itu ?
kamu juga tahu itu ?	kamu ingat kami pernah piket bersama ?
kamu ingat kami pernah piket bersama ?	kami pernah ?
kami pernah ?	kamu ingat apa yang kamu tanyakan ?
kamu ingat apa yang kamu tanyakan ?	apa itu ?
apa itu ?	apa arti su dalam sueun ?
apa arti su dalam sueun ?	oh , su artinya hidup !
oh , su artinya hidup !	dan arti su dalam namamu luar biasa !
dan arti su dalam namamu luar biasa !	belikan aku pager .
belikan aku pager .	pager ?
pager ?	punyaku hilang karena kamu , jadi kamu harus menggantinya .
punyaku hilang karena kamu , jadi kamu harus menggantinya .	karena aku ?
karena aku ?	dasar bodoh .
dasar bodoh .	lautnya sangat merah .
lautnya sangat merah .	selalu begitu di waktu seperti ini .
selalu begitu di waktu seperti ini .	lalu , kenapa wajahmu merah ?
lalu , kenapa wajahmu merah ?	iya , pada saat seperti ini , biasanya begitu .
iya , pada saat seperti ini , biasanya begitu .	suho .
suho .	iya ?
iya ?	hanya ingin memanggil namamu .
hanya ingin memanggil namamu .	aku tahu !
aku tahu !	hah ?
hah ?	kamu akan pindah sekolah .
kamu akan pindah sekolah .	itulah kenapa kamu mulai bicara dan tertawa denganku .
itulah kenapa kamu mulai bicara dan tertawa denganku .	sueun .
sueun .	hah ?
hah ?	apa arti eun dalam sueun ?
apa arti eun dalam sueun ?	ingin membakarku dengan tatapanmu ?
ingin membakarku dengan tatapanmu ?	matamu seperti mau keluar .
matamu seperti mau keluar .	ibu .
ibu .	hah , kamu membuatku takut dengan suaramu itu .
hah , kamu membuatku takut dengan suaramu itu .	jika kamu memanggilku , itu berarti ada yang kamu inginkan .
jika kamu memanggilku , itu berarti ada yang kamu inginkan .	aku sangat mencintaimu ?
aku sangat mencintaimu ?	boleh aku pinjam uang .
boleh aku pinjam uang .	ibu , pager .
ibu , pager .	apa ?
apa ?	terompet ?
terompet ?	bukan , bukan itu ...
bukan , bukan itu ...	bzzz ...
bzzz ...	pager !
pager !	apa kamu makan ikan kembung ?
apa kamu makan ikan kembung ?	bzzz ...
bzzz ...	pager , apanya !
pager , apanya !	masuk kamarmu dan belajar sana !
masuk kamarmu dan belajar sana !	suho !
suho !	kamu tidak tahu cara mengetuk ?
kamu tidak tahu cara mengetuk ?	kudengar kamu punya pacar .
kudengar kamu punya pacar .	seluruh siswa membicarakannya .
seluruh siswa membicarakannya .	bagaimana bisa penakut sepertimu punya pacar , sedangkan aku tidak ?
bagaimana bisa penakut sepertimu punya pacar , sedangkan aku tidak ?	karena kamu seperti makhluk laut aneh , itu alasannya .
karena kamu seperti makhluk laut aneh , itu alasannya .	suho , apa diantara temanmu ada yang pantas untukku ?
suho , apa diantara temanmu ada yang pantas untukku ?	kamu berbaring tidur sepanjang musim panas dan musim dingin .
kamu berbaring tidur sepanjang musim panas dan musim dingin .	kamu berbaring tidur sepanjang musim panas dan musim dingin .
kamu berbaring tidur sepanjang musim panas dan musim dingin .	seratus tahun lagi , aku akan berbaring di sisimu .
seratus tahun lagi , aku akan berbaring di sisimu .	seratus tahun lagi , aku akan berbaring di sisimu .
seratus tahun lagi , aku akan berbaring di sisimu .	tolong tunggu dengan damai sampai hari itu tiba .
tolong tunggu dengan damai sampai hari itu tiba .	tolong tunggu dengan damai sampai hari itu tiba .
tolong tunggu dengan damai sampai hari itu tiba .	ini adalah puisi kuno cina .
ini adalah puisi kuno cina .	puisi ini indah dan menyayat hati tapi ini tidak ada dalam ujian .
puisi ini indah dan menyayat hati tapi ini tidak ada dalam ujian .	sepertinya penulis menciptakan ini setelah kematian orang tercintanya .
sepertinya penulis menciptakan ini setelah kematian orang tercintanya .	meskipun manusia telah maju di berbagai bidang ,
meskipun manusia telah maju di berbagai bidang ,	tapi dalam hati manusia , jauh didalamnya , tidak ada yang berubah .
tapi dalam hati manusia , jauh didalamnya , tidak ada yang berubah .	puisi ini ditulis sekitar tahun lalu .
puisi ini ditulis sekitar tahun lalu .	tapi puisi ini lebih menyentuh dari puisi zaman sekarang .
tapi puisi ini lebih menyentuh dari puisi zaman sekarang .	tolong ada yang bacakan dengan keras .
tolong ada yang bacakan dengan keras .	tanggal berapa sekarang ?
tanggal berapa sekarang ?	tanggal .
tanggal .	iya , siswa nomor !
iya , siswa nomor !	kalian ulangi setelah sueun .
kalian ulangi setelah sueun .	iya !
iya !	kamu berbaring tidur sepanjang musim panas dan musim dingin .
kamu berbaring tidur sepanjang musim panas dan musim dingin .	kamu berbaring tidur sepanjang musim panas dan musim dingin .
kamu berbaring tidur sepanjang musim panas dan musim dingin .	seratus tahun lagi , aku akan berbaring di sisimu .
seratus tahun lagi , aku akan berbaring di sisimu .	tolong tunggu dengan damai sampai hari itu tiba .
tolong tunggu dengan damai sampai hari itu tiba .	ayahku sangat menakutkan .
ayahku sangat menakutkan .	kamu sebaiknya tidak menelponku dirumah .
kamu sebaiknya tidak menelponku dirumah .	nomor pager ...
nomor pager ...	bukankah kamu bilang pagermu hilang .
bukankah kamu bilang pagermu hilang .	bodoh .
bodoh .	kamu masih bisa meninggalkan pesan dalam sistemnya .
kamu masih bisa meninggalkan pesan dalam sistemnya .	oh , benar ...
oh , benar ...	dah .
dah .	dah .
dah .	sampai jumpa di sekolah besok .
sampai jumpa di sekolah besok .	iya , dah .
iya , dah .	dasar telmi !
dasar telmi !	aku bilang , wali kelas kami sedang mengencani guru matematika .
aku bilang , wali kelas kami sedang mengencani guru matematika .	iya , itu benar .
iya , itu benar .	coba pikir .
coba pikir .	kenapa mereka duduk berdua saat piknik sekolah ?
kenapa mereka duduk berdua saat piknik sekolah ?	disana ada guru ipa dan suster , kenapa duduk di sebelahnya ?
disana ada guru ipa dan suster , kenapa duduk di sebelahnya ?	hai , makhluk laut aneh !
hai , makhluk laut aneh !	apa kamu menyewa telponnya ?
apa kamu menyewa telponnya ?	lihat , kamu itu terlalu telmi .
lihat , kamu itu terlalu telmi .	bagaimana kamu bisa bertahan di dunia ini ?
bagaimana kamu bisa bertahan di dunia ini ?	aku selalu sejam lebih dulu dari orang lain , sungguh .
aku selalu sejam lebih dulu dari orang lain , sungguh .	jika aku benar , besok traktir makan siang .
jika aku benar , besok traktir makan siang .	kimbap dan kue nasi , okay ?
kimbap dan kue nasi , okay ?	kamu akan menelpon siapa ?
kamu akan menelpon siapa ?	kamu akan menelpon pacarmu , iya kan ?
kamu akan menelpon pacarmu , iya kan ?	aku tidak mengijinkan itu , kakak .
aku tidak mengijinkan itu , kakak .	pulanglah ke planetmu sendiri !
pulanglah ke planetmu sendiri !	kamu mendapat empat pesan .
kamu mendapat empat pesan .	pesan pertama ...
pesan pertama ...	iya tuhan !
iya tuhan !	kudengar kamu mengencani dia !
kudengar kamu mengencani dia !	aku benarbenar terkejut !
aku benarbenar terkejut !	sueun , ini seongjin .
sueun , ini seongjin .	tidak bisakah kamu pikirkan lagi ?
tidak bisakah kamu pikirkan lagi ?	aku juga !
aku juga !	aku juga !
aku juga !	oh , iya tuhan ...
oh , iya tuhan ...	hai suho , ini aku sueun .
hai suho , ini aku sueun .	apa merasa aneh ?
apa merasa aneh ?	sebenarnya aku juga merasa begitu .
sebenarnya aku juga merasa begitu .	darimana aku mendapat keberanian ?
darimana aku mendapat keberanian ?	oh , jadi dia butuh keberanian juga .
oh , jadi dia butuh keberanian juga .	bodoh , kamu bahkan tidak sadar ada orang yang memandangmu .
bodoh , kamu bahkan tidak sadar ada orang yang memandangmu .	bodoh , kamu hanya peduli pada omonganmu sendiri , bukan pada orang yang kamu ajak
bodoh , kamu hanya peduli pada omonganmu sendiri , bukan pada orang yang kamu ajak	saat pertama melihatmu , kamu kelihatan seperti anak lelaki yang muncul dari laut .
saat pertama melihatmu , kamu kelihatan seperti anak lelaki yang muncul dari laut .	sementara aku merasa tenggelam ke laut .
sementara aku merasa tenggelam ke laut .	jika aku tidak mengungkapkan perasaanku sekarang , aku akan kehabisan nafas .
jika aku tidak mengungkapkan perasaanku sekarang , aku akan kehabisan nafas .	aku sangat senang bersamamu .
aku sangat senang bersamamu .	aku juga senang bersamamu .
aku juga senang bersamamu .	suho , sebaiknya kamu pulang .
suho , sebaiknya kamu pulang .	kakekmu pingsan .
kakekmu pingsan .	kakek !
kakek !	apa yang bisa kulakukan ?
apa yang bisa kulakukan ?	cuacanya mendung , jika aku tidak minum bersamamu , aku akan menyesalinya .
cuacanya mendung , jika aku tidak minum bersamamu , aku akan menyesalinya .	jadi kamu memanggil cucumu dari sekolah ?
jadi kamu memanggil cucumu dari sekolah ?	berbohong terkena stroke ?
berbohong terkena stroke ?	teganya ?
teganya ?	tolong jangan mati hari ini .
tolong jangan mati hari ini .	lihat , kamu mengubah tandanya .
lihat , kamu mengubah tandanya .	kamu pasti merencanakan sesuatu .
kamu pasti merencanakan sesuatu .	tidak ada .
tidak ada .	aku hanya ingin minum bir dan ngobrol .
aku hanya ingin minum bir dan ngobrol .	mengenai apa ?
mengenai apa ?	apa kamu sedang jatuh cinta ?
apa kamu sedang jatuh cinta ?	kenapa menanyakan itu ?
kenapa menanyakan itu ?	katakan saja , iya atau tidak ?
katakan saja , iya atau tidak ?	kenapa sekarang ?
kenapa sekarang ?	mau dengar kisah cinta pertamaku ?
mau dengar kisah cinta pertamaku ?	bagaimana kamu bertemu nenek ?
bagaimana kamu bertemu nenek ?	bukan dia , cinta pertamaku .
bukan dia , cinta pertamaku .	nenek bukan cinta pertamamu ?
nenek bukan cinta pertamamu ?	bukan .
bukan .	hah ?
hah ?	sueun !
sueun !	aku membawakan tasmu .
aku membawakan tasmu .	oh , makasih .
oh , makasih .	kakek , ini temanku sueun .
kakek , ini temanku sueun .	berapa umurmu ?
berapa umurmu ?	apa ?
apa ?	berapa umurmu ?
berapa umurmu ?	?
?	.
.	kalau begitu putar kali .
kalau begitu putar kali .	apa ?
apa ?	itu hanya takhayul .
itu hanya takhayul .	silakan .
silakan .	sudah cukup .
sudah cukup .	kamu menggelikan , kek .
kamu menggelikan , kek .	dia tidak mungkin dirasuki hantu .
dia tidak mungkin dirasuki hantu .	kamu pusing ?
kamu pusing ?	iya .
iya .	a sip of this will make you feel better .
a sip of this will make you feel better .	oh , sueun tidak suka minum .
oh , sueun tidak suka minum .	tidak apa , aku suka minum .
tidak apa , aku suka minum .	ini pertama kalinya aku ke tempat seperti ini .
ini pertama kalinya aku ke tempat seperti ini .	tidak baik terlalu sering datang .
tidak baik terlalu sering datang .	oh iya , silakan lanjutkan ceritamu .
oh iya , silakan lanjutkan ceritamu .	cerita apa ?
cerita apa ?	mengenai cinta pertamamu .
mengenai cinta pertamamu .	aku punya cinta pertama .
aku punya cinta pertama .	pertama kali melihatnya , kupikir aku melihat bidadari .
pertama kali melihatnya , kupikir aku melihat bidadari .	mataku terbutakan , aku tidak bisa melihat langsung .
mataku terbutakan , aku tidak bisa melihat langsung .	dia terlalu berharga untuk di impikan pria sepertiku .
dia terlalu berharga untuk di impikan pria sepertiku .	keluarganya sangat menentang kami .
keluarganya sangat menentang kami .	kami dari dua dunia berbeda .
kami dari dua dunia berbeda .	tapi kami saling mencintai .
tapi kami saling mencintai .	kami mencintai sampai mati .
kami mencintai sampai mati .	soonim !
soonim !	soonim !
soonim !	soonim !
soonim !	soonim !
soonim !	mangeum !
mangeum !	kembalilah .
kembalilah .	kumohon , kembalilah .
kumohon , kembalilah .	setelah perang , aku kembali , tapi tidak ada yang menungguku .
setelah perang , aku kembali , tapi tidak ada yang menungguku .	aku mulai mengerti pepatah ,
aku mulai mengerti pepatah ,	hidup segan , mati tidak mau .
hidup segan , mati tidak mau .	aku tidak bisa bertemu dengannya lagi .
aku tidak bisa bertemu dengannya lagi .	aku terus memikirkan apa yang diceritakan kakekmu .
aku terus memikirkan apa yang diceritakan kakekmu .	kamu mungkin kesal , tapi aku memahami dia .
kamu mungkin kesal , tapi aku memahami dia .	sungguh hebat bisa mencintai seseorang seumur hidup .
sungguh hebat bisa mencintai seseorang seumur hidup .	tapi aku juga merasa lega dan senang .
tapi aku juga merasa lega dan senang .	jika kakekmu menikahi wanita itu , kamu pasti tidak akan lahir .
jika kakekmu menikahi wanita itu , kamu pasti tidak akan lahir .	itu buruk bagi kami berdua .
itu buruk bagi kami berdua .	sulit dipercaya .
sulit dipercaya .	kakekmu terus mengenangnya ... selama hidupnya .
kakekmu terus mengenangnya ... selama hidupnya .	tahun .
tahun .	dia tidak berperasaan .
dia tidak berperasaan .	siapa ?
siapa ?	kakekku .
kakekku .	selama ini dia hidup dengan nenek , tapi dia mencintai wanita lain .
selama ini dia hidup dengan nenek , tapi dia mencintai wanita lain .	apa yang kamu lakukan jika jadi dia ?
apa yang kamu lakukan jika jadi dia ?	bisakah kamu mencintai satu wanita selama tahun ?
bisakah kamu mencintai satu wanita selama tahun ?	kalian bertiga , berdiri dengan tangan diatas .
kalian bertiga , berdiri dengan tangan diatas .	tunggu dulu .
tunggu dulu .	kamu , hyeseong !
kamu , hyeseong !	kamu bukan dari kelas ini , sedang apa kamu disini ?
kamu bukan dari kelas ini , sedang apa kamu disini ?	pergi ke kelasmu !
pergi ke kelasmu !	maaf , pak .
maaf , pak .	apa dia sangat suka kelasku ?
apa dia sangat suka kelasku ?	dasar berandalan !
dasar berandalan !	kakekku membuat kami bisa bertemu .
kakekku membuat kami bisa bertemu .	seperti katamu , jika cintanya jadi kenyataan , kami tidak akan bertemu .
seperti katamu , jika cintanya jadi kenyataan , kami tidak akan bertemu .	kamu percaya hari akhirat ?
kamu percaya hari akhirat ?	kenapa ?
kenapa ?	kakekmu berharap dia bisa mewujudkan cintanya di akhirat .
kakekmu berharap dia bisa mewujudkan cintanya di akhirat .	aku percaya pada tuhan , tapi aku tidak percaya akhirat .
aku percaya pada tuhan , tapi aku tidak percaya akhirat .	bagaimana bisa tuhan dan akhirat berbeda ?
bagaimana bisa tuhan dan akhirat berbeda ?	menurutku akhirat hanya karangan orang saja .
menurutku akhirat hanya karangan orang saja .	lalu bagaimana dengan kakekmu ?
lalu bagaimana dengan kakekmu ?	dia hanya menghibur diri ... karena memikirkan tentang akhirat ?
dia hanya menghibur diri ... karena memikirkan tentang akhirat ?	kamu menangis saat kamu mendengar ceritanya .
kamu menangis saat kamu mendengar ceritanya .	iya , kamu menangis , jadi aku juga .
iya , kamu menangis , jadi aku juga .	lalu menurutmu setelah mati kami akan hilang begitu saja ?
lalu menurutmu setelah mati kami akan hilang begitu saja ?	jika tidak , maka akhirat pasti akan penuh sesak .
jika tidak , maka akhirat pasti akan penuh sesak .	apa kamu mau bilang orang bodoh yang percaya itu ?
apa kamu mau bilang orang bodoh yang percaya itu ?	siapa yang bilang bodoh ?
siapa yang bilang bodoh ?	kamu jahat .
kamu jahat .	tunggu , sueun !
tunggu , sueun !	kamu egois !
kamu egois !	bukan itu maksudku .
bukan itu maksudku .	hai , apa menurutmu dia memintanya karena dia sungguh tidak tahu ?
hai , apa menurutmu dia memintanya karena dia sungguh tidak tahu ?	dia murid terbaik di sekolah ini .
dia murid terbaik di sekolah ini .	aku tidak tahan menghadapi pria tampan juga pintar .
aku tidak tahan menghadapi pria tampan juga pintar .	lihat mereka berdua .
lihat mereka berdua .	mereka kelihatan senang .
mereka kelihatan senang .	kenapa denganmu ?
kenapa denganmu ?	bodoh .
bodoh .	kenapa kamu kesal ?
kenapa kamu kesal ?	kamu tidak tahu ?
kamu tidak tahu ?	apa karena minsoo ?
apa karena minsoo ?	karena dia bertanya masalah matematika ?
karena dia bertanya masalah matematika ?	jika itu sebabnya , aku sungguh kecewa .
jika itu sebabnya , aku sungguh kecewa .	kamu tidak bisa melihatku berbicara dengan orang lain , jadi jika aku menikahi orang lain
kamu tidak bisa melihatku berbicara dengan orang lain , jadi jika aku menikahi orang lain	biarkan kering dan teranginkan .
biarkan kering dan teranginkan .	terima kasih .
terima kasih .	makasih , jaga diri .
makasih , jaga diri .	jangan mengeluh , bisa membuang nasib baik .
jangan mengeluh , bisa membuang nasib baik .	kenapa kakek menceritakan kisah cinta pertama kakek padanya ?
kenapa kakek menceritakan kisah cinta pertama kakek padanya ?	saat itu hujan , bagaimana mungkin aku tidak menceritakan itu ?
saat itu hujan , bagaimana mungkin aku tidak menceritakan itu ?	lalu setelah itu , kakek tidak pernah melihatnya lagi ?
lalu setelah itu , kakek tidak pernah melihatnya lagi ?	jangan dipikirkan , bocah !
jangan dipikirkan , bocah !	seekor kelinci .
seekor kelinci .	tanpa tiang , tanpa ikatan .
tanpa tiang , tanpa ikatan .	bergerak bebas di dataran barat .
bergerak bebas di dataran barat .	aku diminta mempersiapkan pemakaman , dan itu adalah suami soonim .
aku diminta mempersiapkan pemakaman , dan itu adalah suami soonim .	kami tidak berbicara sepatah katapun .
kami tidak berbicara sepatah katapun .	entah dia tidak menyadari kehadiranku atau mengabaikanku , dia terus menangis .
entah dia tidak menyadari kehadiranku atau mengabaikanku , dia terus menangis .	itulah bagaimana karma bekerja .
itulah bagaimana karma bekerja .	kamu pikir semuanya sudah ada sesuai keinginanmu , hidup itu penuh dengan lika liku .
kamu pikir semuanya sudah ada sesuai keinginanmu , hidup itu penuh dengan lika liku .	satu belokan kecil membuahkan takdir yang jauh berbeda .
satu belokan kecil membuahkan takdir yang jauh berbeda .	hah ?
hah ?	mereka bilang tiap orang punya takdir masingmasing .
mereka bilang tiap orang punya takdir masingmasing .	bagi kakekku , takdirnya nenek .
bagi kakekku , takdirnya nenek .	bagi ayah , takdirnya ibu .
bagi ayah , takdirnya ibu .	kuharap kamu bisa jadi takdirku .
kuharap kamu bisa jadi takdirku .	aku juga .
aku juga .	o , lalu , iya tuhan , biar bibir bekerja seperti tangan .
o , lalu , iya tuhan , biar bibir bekerja seperti tangan .	dia berdoa , perkenankan , semoga terus percaya .
dia berdoa , perkenankan , semoga terus percaya .	santa tidak bergerak , walaupun untuk kebaikan pendoa .
santa tidak bergerak , walaupun untuk kebaikan pendoa .	maka tidak bergerak , sementara hasil doaku kutuai .
maka tidak bergerak , sementara hasil doaku kutuai .	itulah doa dari bibirku , olehmu , dosaku diampuni .
itulah doa dari bibirku , olehmu , dosaku diampuni .	sial , aku tidak bisa melihat mereka .
